region_code,region_name,region_level,n_species,n_checklists,top_hotspot,hotspot_name
CA-ON-DF,Dufferin,subnational2,249,4195,L442178,Luther Marsh (Dufferin County)
CA-ON-SU,Greater Sudbury,subnational2,247,6259,L291983,Sudbury--Kelly Lake
CA-ON-HB,Haliburton,subnational2,232,7594,L606110,Haliburton--Rail Trail
CA-ON-SB,Sudbury,subnational2,221,5467,L274412,Halfway Lake Provincial Park
CA-QC-HC,La Haute-Côte-Nord,subnational2,342,10586,L17,Observatoire d'oiseaux de Tadoussac
CA-QC-RM,Rimouski-Neigette,subnational2,338,21358,L1299737,Sentier du littoral
CA-QC-QU,Québec,subnational2,311,35194,L2036586,Pointe de Maizerets
CA-QC-CB,La Côte-de-Beaupré,subnational2,309,7942,L164932,RNF du cap Tourmente
CA-QC-CB,La Côte-de-Beaupré,subnational2,309,7942,L164932,RNF du cap Tourmente
CA-QC-MN,Manicouagan,subnational2,308,4814,L899175,Parc nature de Pointe-aux-Outardes
CA-QC-MR,Montréal,subnational2,308,41465,L164930,Ile des Soeurs
CA-QC-KA,Kamouraska,subnational2,304,10257,L1912448,"Quai, Rivière-Ouelle"
CA-QC-NY,Nicolet-Yamaska,subnational2,298,10738,L1912371,Route Janelle
CA-QC-OU,Gatineau,subnational2,297,9931,L489654,Rapides Deschênes
CA-QC-PB,Le Rocher-Percé,subnational2,288,3902,L797193,"Barachois, Percé"
CA-QC-RS,Roussillon,subnational2,285,8650,L1138695,Récré-O-Parc
CA-QC-BH,Beauharnois-Salaberry,subnational2,284,8692,L476432,Marais de St-Timothée
CA-QC-HR,Le Haut-Richelieu,subnational2,284,8369,L1516545,"Champs inondés, 46e à 53e ave"
CA-QC-MM,Montmagny,subnational2,283,3498,L2169782,Isle-aux-Grues
CA-QC-RL,Rivière-du-Loup,subnational2,283,5250,L610533,Parc côtier Kiskotuk--Secteur marais du Gros-Cacouna
CA-QC-CG,La Côte-de-Gaspé,subnational2,278,2951,L794938,PN Forillon
CA-QC-BL,Bellechasse,subnational2,277,4917,L269198,Refuge d'oiseaux de St-Vallier
CA-QC-BM,Brome-Missisquoi,subnational2,274,7819,L354000,George Montgomery Sanctuary
CA-QC-VS,Vaudreuil-Soulanges,subnational2,273,12977,L1558484,"Sablière, St-Lazare"
CA-QC-BA,Les Basques,subnational2,272,3613,L294025,Ile aux Basques
CA-QC-AT,Arthabaska,subnational2,270,3992,L387422,Réservoir Beaudet
CA-QC-VR,La Vallée-du-Richelieu,subnational2,269,6373,L165065,Bassin de Chambly
CA-QC-DE,Lévis,subnational2,269,7338,L2423815,Parc régional de la Pointe-De la Martinière
CA-QC-DA,D'Autray,subnational2,268,4671,L721911,Sentiers SCIRBI
CA-QC-CP,Longueuil,subnational2,268,8364,L1658613,Parc de l'Île Charron
CA-QC-IM,Les Îles-de-la-Madeleine,subnational2,266,6491,L2794037,Grosse-Île
CA-QC-BR,Pierre-De Saurel,subnational2,266,1558,L2725453,Maison du marais
CA-QC-HL,Le Haut-Saint-Laurent,subnational2,261,6801,L293311,RNF du Lac-St-François
CA-QC-MS,Maskinongé,subnational2,261,4058,L340284,RN de Pointe-Yamachiche
CA-QC-TM,Témiscamingue,subnational2,261,6482,L3636695,"Barrage, Angliers"
CA-QC-CE,Charlevoix-Est,subnational2,260,2684,L2802307,Baie Ste-Catherine
CA-QC-PR,Portneuf,subnational2,260,4454,L258156,RN du Marais Léon-Provancher
CA-QC-MI,La Mitis,subnational2,259,3550,L1299755,Aéroport régional de Mt-Joli
CA-QC-BC,Bécancour,subnational2,258,4749,L2112837,"Quai, Bécancour"
CA-QC-MT,La Matanie,subnational2,258,2102,L2738431,Port de Matane
CA-QC-HY,La Haute-Yamaska,subnational2,256,11337,L459772,PN de la Yamaska--zone générale
CA-QC-LV,Laval,subnational2,256,33959,L1440386,Forêt du ruisseau Ste-Rose
CA-QC-PP,Papineau,subnational2,256,2913,L2145150,PN de Plaisance--zone générale
CA-QC-IO,L'Île-d'Orléans,subnational2,253,2526,L2389286,"Rue Horatio Walker, Ste-Pétronille"
CA-QC-CO,Les Collines-de-l'Outaouais,subnational2,253,8104,L2514612,Parc de la Gatineau--Lac Philippe
CA-QC-CV,Charlevoix,subnational2,252,1461,L426059,Isle-aux-Coudres
CA-QC-FR,Trois-Rivières,subnational2,251,4986,L729855,Ile St-Quentin
CA-QC-LS,Lac-Saint-Jean-Est,subnational2,250,4848,L890691,"Petit Marais, St-Gédéon"
CA-QC-DR,La Haute-Gaspésie,subnational2,246,2171,L617638,PN de la Gaspésie--zone générale
CA-QC-TT,Témiscouata,subnational2,246,17033,L2593984,"Barrage, Lac Témiscouata"
CA-QC-AL,Antoine-Labelle,subnational2,244,10563,L2857132,"Pont Pilote, Lac-des-Iles"
CA-QC-MU,Les Moulins,subnational2,241,4483,L1797284,Parc faunique du Ruisseau-de-Feu
CA-QC-DM,Deux-Montagnes,subnational2,240,2958,L598559,PN d'Oka--zone générale
CA-QC-IS,L'Islet,subnational2,240,2244,L734393,Lac Noir
CA-QC-MB,Minganie,subnational2,240,3594,L3945956,"Promenade, Rivière-St-Jean"
CA-QC-RC,Robert-Cliche,subnational2,239,1461,L3096782,"Station d'épuration, St-Joseph-de-Beauce"
CA-QC-RN,Rouyn-Noranda,subnational2,239,6069,L2763848,Lac Osisko
CA-QC-LO,Lotbinière,subnational2,238,2716,L2332728,Domaine Joly-De Lotbinière
CA-QC-BS,Beauce-Sartigan,subnational2,237,4902,L3700105,Barrage Sartigan
CA-QC-FS,Le Fjord-du-Saguenay,subnational2,236,3545,L2792754,Centre d'interprétation des battures de St-Fulgence
CA-QC-PN,Pontiac,subnational2,236,5480,L3297221,Isle-aux-Allumettes
CA-QC-AG,Argenteuil,subnational2,235,2848,L3527746,Barrage Carillon
CA-QC-BO,Bonaventure,subnational2,235,937,L2171045,"Le Barachois, Hope Town"
CA-QC-NB,La Nouvelle-Beauce,subnational2,235,1988,L3102591,Parc Brochu-Châtigny (Marais St-Isidore)
CA-QC-DD,Le Domaine-du-Roy,subnational2,235,2252,L2919301,Pointe de Chambord
CA-QC-LJ,Marguerite-D'Youville,subnational2,235,1071,L2924325,RNF des Îles-de-Contrecoeur (accès restreint)
CA-QC-AO,Abitibi-Ouest,subnational2,233,3334,L2930483,Marais Antoine
CA-QC-MG,Memphrémagog,subnational2,232,4498,L631605,Ile du Marais
CA-QC-SAG,Saguenay,subnational2,232,9532,L2750770,"Quai, La Baie"
CA-QC-VO,La Vallée-de-l'Or,subnational2,230,4713,L2201037,Site minier East Sullivan
CA-QC-RV,Rouville,subnational2,230,1999,L1491784,"Parc des Voiles, St-Mathias-sur-Richelieu"
